serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-M260031","CM","CMIII-500Y/72.5B-500","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","250","72.5","1123","","Y","III","eligible"
"E-M260032-033","CM","3xCMI-1200Y/170C-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1068","170","1328","6","Y","I","eligible"
"E-M260034","CM","CMIII-500Y/126B-10193W","CV2III-350Y/126-10193W","CV2III-600Y/126-10193W | CM2III-500Y/126C-10193W | CM2III-600Y/126C-10193W","","244.9","126","1368","8","Y","III","eligible"
"E-M260035","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","125","72.5","1368","8","Y","III","eligible"
"E-M260036","CM","CMIII-500Y/72.5B-10191W","CV2III-600Y/72.5-10191W","SVIII-500Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","424.3","72.5","1181","9","Y","III","eligible"
"E-M260037","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","105.7","72.5","1328","12","Y","III","eligible"
"E-M260038","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","104.59","72.5","1328","12","Y","III","eligible"
"E-M260039","CM","3xCMI-800/170C-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","634.5","170","1397","6","Y","I","eligible"
"E-M260040-041","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","97.2","72.5","1368.3","8","Y","III","eligible"
"E-M260042","CM","","","","no sold_type","","","1368","","","","skip"
"E-M260044","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","330.3","72.5","1328","12","Y","III","eligible"
"E-M260045","CM","","","","no sold_type","668","","2656","6","","","skip"
"E-M260046","CM","","","","no sold_type","","","","","","","skip"
"E-M260047","CM","","","","no sold_type","","","","","","","skip"
"E-M260048-049","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","106","72.5","1328","12","Y","III","eligible"
"E-M260050-052","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1298","","Y","III","skip"
"E-M260053-072","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1422","","Y","III","skip"
"E-M260073-075","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1422","","Y","III","skip"
"E-M260076-081","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1576","","Y","III","skip"
"E-M260082-086","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1576","","Y","III","skip"
"E-M260087-088","CM","","","","no sold_type","","","","","","","skip"
"E-M260089-090","CM","","","","no sold_type","","","","","","","skip"
"E-M260091","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260092,E-M260094","CM","CMI-500/170C-10193W","CM2I-500/170D-10193W","CM2I-600/170D-10193W | SHZVI-400/170D-10193W | SHZVI-600/170D-10193W","","316","170","1048","8","Y","I","eligible"
"E-M260093","CM","CMIII-600Y/72.5C-14271G","CVIII-350Y/72.5-14271G","CM2III-500Y/72.5B-14271G | CM2III-600Y/72.5B-14271G | SHZVIII-400Y/72.5B-14271G","","68.7","72.5","0","13","Y","III","eligible"
"E-M260095-096","CM","3xCMI-1200/170B-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","971.8","170","1852.9","6","Y","I","eligible"
"E-M260097-098","CM","","","","no sold_type","","","","","","","skip"
"E-M260099-101","CM","CMIII-500Y/126B-10193W","CV2III-350Y/126-10193W","CV2III-600Y/126-10193W | CM2III-500Y/126C-10193W | CM2III-600Y/126C-10193W","","244.9","126","1368","8","Y","III","eligible"
"E-M260102","CM","CMIII-500Y/126B-10091W","CV2III-350Y/126-10091W","CV2III-600Y/126-10091W | CM2III-500Y/126C-10091W | CM2III-600Y/126C-10091W","","100.41","126","1660","4","Y","III","eligible"
"E-M260103","CM","3xCMI-1200/170B-14131W","","","no transformer I","","170","","","","I","skip"
"E-M260104-105","CM","CMI-800/126-14131W","","","no transformer I","","126","1397","6","","I","skip"
"E-M260106-107","CM","","","","no sold_type","","","","","","","skip"
"E-M260108","CM","3xCMI-1200/170C-14131W","","","no transformer I","","170","1328","6","","I","skip"
"E-M260109","CM","3xCMI-1200/170B-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1084","170","1346","6","Y","I","eligible"
"E-M260110","CM","CMIII-500Y/126B-10193W","","","no transformer I","","126","","","Y","III","skip"
"E-M260111","CM","3xCMI-1500/126B-14131W","CM2I-1500/126C-14131W","SHZVI-1500/126C-14131W | SHZVI-1600/126C-14131W | SHZVGI-3000/126C-14131W","","1296.6","126","1398","6","Y","I","eligible"
"E-M260112","CM","CMIII-500Y/72.5B-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260113","CM","3xCMI-1500/170C-14131W","CM2I-1500/170D-14131W","SHZVI-1500/170D-14131W | SHZVI-1600/170D-14131W | SHZVGI-3000/170D-14131W","","1269","170","0","6","Y","I","eligible"
"E-M260114","CM","3xCMI-800/252B-14131W","CM2I-800/252D-14131W","CM2I-1200/252D-14131W | SHZVI-1000/252D-14131W | SHZVI-1200/252D-14131W","","667.6","252","2688.9","6","Y","I","eligible"
"E-M260115","CM","CMIII-600Y/72.5C-18531G","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260116-117","CM","3xCMI-1200/170B-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1068.2","170","1413.5","6","Y","I","eligible"
"E-M260118-119","CM","CMIII-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","106","72.5","1330","12","Y","III","eligible"
"E-M260120-121","CM","CMIII-500Y/72.5C-18170","CM2III-500Y/72.5B-18170","CM2III-600Y/72.5B-18170 | SHZVIII-400Y/72.5B-18170 | SHZVIII-600Y/72.5B-18170","","141","72.5","1398","","Y","III","eligible"
"E-M260122","CM","3xCMI-1500Y/126B-14131W","CM2I-1500/126C-14131W","SHZVI-1500/126C-14131W | SHZVI-1600/126C-14131W | SHZVGI-3000/126C-14131W","","1269","126","1397","6","Y","I","eligible"
"E-M260123","CM","3xCMI-1200/170B-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1068.2","170","1413.5","6","Y","I","eligible"
"E-M260124-126","CM","3xCMI-1500/170C-14131W","CM2I-1500/170D-14131W","SHZVI-1500/170D-14131W | SHZVI-1600/170D-14131W | SHZVGI-3000/170D-14131W","","1356","170","1398","6","Y","I","eligible"
"E-M260127-135","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260136-138","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260139","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260140","CM","CMIII-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","264","72.5","1328","12","Y","III","eligible"
"E-M260141-142","CM","3xCMI-1500Y/170C-14131W","","","no transformer I","","170","","6","Y","I","skip"
"E-M260143","CM","CMIII-500Y/126DE-14273W","CM2III-500Y/126C-14273W","CM2III-600Y/126C-14273W | SHZVIII-400Y/126C-14273W | SHZVIII-600Y/126C-14273W","","231.6","126","1588","12","Y","III","eligible"
"E-M260144","CM","CMIII-500Y/72.5C-10193W","CM2III-500Y/72.5B-10193W","CM2III-600Y/72.5B-10193W | SHZVIII-400Y/72.5B-10193W | SHZVIII-600Y/72.5B-10193W","","232.7","72.5","2858","8","Y","III","eligible"
"E-M260145-147","CM","3xCMI-800/170B-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","668","170","1328","6","Y","I","eligible"
"E-M260148-150","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260151","CM","CMIII-500Y/72.5-10193W","CV2III-600Y/72.5-10193W","SVIII-500Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","368","72.5","794","8","Y","III","eligible"
"E-M260152-161","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1576","","Y","III","skip"
"E-M260162","CM","CMI-1200/72.5C-18351W","","","no transformer I","","72.5","","","","I","skip"
"E-M260163","CM","3xCMI-1200/170B-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1068.2","170","1413.5","6","Y","I","eligible"
"E-M260164","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260165","CM","","","","no sold_type","1068.2","","1328","6","","","skip"
"E-M260166","CM","","","","no sold_type","1068.2","","1328","6","","","skip"
"E-M260167-168","CM","CMIII-600Y/72.5B-10173G","CV2III-600Y/72.5-16151G","CM2III-600Y/72.5B-16151G | SHZVIII-600Y/72.5B-16151G | SHZVIII-1000Y/72.5B-16151G","","575.2","72.5","238.2","7","Y","III","eligible"
"E-CMD260001","CMD","CMDIII-1000Y/72.5C-10193W","SHZVGIII-1300Y/72.5B-10193W","SHZVGIII-1500Y/72.5B-10193W | 3xCM2I-1200/72.5B-10193W | 3xCM2I-1500/72.5B-10193W","","983","72.5","1417","8","Y","III","miss"
"E-CMD260004-005","CMD","CMDI-1600/252C-14130","SHZVI-1600/252D-14130","SHZVI-2400/252D-14130 | SHZVGI-3000/252D-14130 | CMDI-1600/252D-14130","","1322","252","2656","","Y","I","eligible"
"E-CMD260006","CMD","CMDIII-1000Y/72.5B-10193W","SHZVIII-1000Y/72.5B-10193W","SHZVGIII-1300Y/72.5B-10193W | SHZVGIII-1500Y/72.5B-10193W | CMDIII-1000Y/72.5B-10193W","","668.4","72.5","377","8","Y","III","eligible"
"E-CMD260007","CMD","CMDIII-1000Y/72.5B-10193W","SHZVIII-1000Y/72.5B-10193W","SHZVGIII-1300Y/72.5B-10193W | SHZVGIII-1500Y/72.5B-10193W | CMDIII-1000Y/72.5B-10193W","","924","72.5","91","8","Y","III","eligible"
"E-CMD260008","CMD","CMDI-1600/252C-14130","SHZVI-1600/252D-14130","SHZVI-2400/252D-14130 | SHZVGI-3000/252D-14130 | CMDI-1600/252D-14130","","1321.4","252","2683","","Y","I","eligible"
"E-CMD260009-010","CMD","CMDI-1600/252C-14130","CM2I-1500/252D-14130","SHZVI-1500/252D-14130 | SHZVI-1600/252D-14130 | SHZVGI-3000/252D-14130","","1321.4","252","0","","Y","I","eligible"
"E-CMD260011-013","CMD","CMDI-1600/252C-14130","CM2I-1500/252D-14130","SHZVI-1500/252D-14130 | SHZVI-1600/252D-14130 | SHZVGI-3000/252D-14130","","1321.4","252","0","","Y","I","eligible"
"E-CMD260014-015","CMD","","","","no sold_type","","","","","","","skip"
"E-V260001-002","CV","","","","no sold_type","","","","","","","skip"
"E-V260003","CV","CVIII-350D/40.5-12233G","CV2III-350D/40.5-12233G","CV2III-600D/40.5-12233G | CVIII-350D/40.5-12233G | SVIII-500D/40.5-12233G","","266.62","40.5","346.5","10","D","III","eligible"
"E-V260004-005","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","227","40.5","257","8","D","III","eligible"
"E-V260006-010","CV","","","","no sold_type","350","","","","","","skip"
"E-V260011","CV","","","","no sold_type","","","","","","","skip"
"E-V260012","CV","SVIII-500Y/40.5-10193W","CV2III-600Y/40.5-10193W","SVIII-500Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","386","40.5","275","8","Y","III","eligible"
"E-V260013-014","CV","","","","no sold_type","","","","","","","skip"
"E-V260015","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","103","40.5","144.3","8","D","III","eligible"
"E-V260016-017","CV","","","","no sold_type","","","","","","","skip"
"E-V260018-019","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260020-021","CV","CVIII-350D/40.5-10193G","","","no transformer I","","40.5","","","D","III","skip"
"E-V260022","CV","CVIII-350D/40.5-10131G","CV2III-350D/40.5-10153G","CV2III-600D/40.5-10153G | CVIII-350D/40.5-10153G | SVIII-500D/40.5-10153G","","43.9","40.5","306","6","D","III","eligible"
"E-V260023-024","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212.1","72.5","1182","9","Y","III","eligible"
"E-V260025-026","CV","CVIII-350/12-233","","","no transformer I","","12","","10","","III","skip"
"E-V260027-028","CV","SVIII-500Y/72.5-10193W","CV2III-600Y/72.5-10193W","SVIII-500Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","418","72.5","318","8","Y","III","eligible"
"E-V260029","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","114","40.5","345","8","D","III","eligible"
"E-V260030","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","196.1","40.5","216.65","8","D","III","eligible"
"E-V260031-033","CV","CVIII-350D/40.5-14131W","CV2III-350D/40.5-14131W","CV2III-600D/40.5-14131W | CVIII-350D/40.5-14131W | SVIII-500D/40.5-14131W","","222.2","40.5","498.5","6","D","III","eligible"
"E-V260034-035","CV","","","","no sold_type","","","","","","","skip"
"E-V260036-038","CV","SVIII-500D/40.5-10193W","CV2III-600D/40.5-10193W","SVIII-500D/40.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","412.39","40.5","216.51","8","D","III","eligible"
"E-V260039","CV","","","","no sold_type","","","","","","","skip"
"E-V260040-041","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","206.2","40.5","216.51","8","D","III","eligible"
"E-V260042","CV","CVIII-350D/40.5-10191W","CV2III-350D/40.5-10191W","CV2III-600D/40.5-10191W | CVIII-350D/40.5-10191W | SVIII-500D/40.5-10191W","","80.6","40.5","165","9","D","III","eligible"
"E-V260043-044","CV","SVIII-500Y/40.5-10193W","CV2III-600Y/40.5-10193W","SVIII-500Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","417.8","40.5","551","8","Y","III","eligible"
"E-V260045-047","CV","CVIII-350D/40.5-10090","CV2III-350D/40.5-10090","CV2III-600D/40.5-10090 | CVIII-350D/40.5-10090 | SVIII-500D/40.5-10090","","178.3","40.5","825","","D","III","eligible"
"E-V260048","CV","CVIII-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CVIII-350D/72.5-10193W | SVIII-500D/72.5-10193W","","80.5","72.5","862.5","8","D","III","eligible"
"E-V260049","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260050","CV","CVIII-350D/40.5-12233W","CV2III-350D/40.5-12233W","CV2III-600D/40.5-12233W | CVIII-350D/40.5-12233W | SVIII-500D/40.5-12233W","","222.22","40.5","500","10","D","III","eligible"
"E-V260051-052","CV","","","","no sold_type","","","","","","","skip"
"E-V260053","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260054-063","CV","","","","no sold_type","350","","","","","","skip"
"E-V260064-065","CV","","","","no sold_type","","","","","","","skip"
"E-V260066-067","CV","","","","no sold_type","","","","","","","skip"
"E-V260068-069","CV","","","","no sold_type","","","","","","","skip"
"E-V260070","CV","","","","no sold_type","","","","","","","skip"
"E-V260070","CV","","","","no sold_type","","","","","","","skip"
"E-V260071","CV","CVIII-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CVIII-350D/72.5-10193W | SVIII-500D/72.5-10193W","","52.3","72.5","862","8","D","III","eligible"
"E-V260072","CV","","","","no sold_type","","","","","","","skip"
"E-V260073","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260074-075","CV","CVIII-350D/40.5-10193G","CV2III-350D/40.5-10193G","CV2III-600D/40.5-10193G | CVIII-350D/40.5-10193G | SVIII-500D/40.5-10193G","","50.3","40.5","412.5","8","D","III","eligible"
"E-V260076","CV","","","","no sold_type","","","","","","","skip"
"E-V260077","CV","","","","no sold_type","","","","","","","skip"
"E-V260078","CV","CVIII-350/12-233","","","no transformer I","","12","","10","","III","skip"
"E-V260079-080","CV","","","","no sold_type","","","","","","","skip"
"E-V260081-082","CV","","","","no sold_type","","","","","","","skip"
"E-V260083","CV","","","","no sold_type","","","","","","","skip"
"E-V260084","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1182","9","Y","III","eligible"
"E-V260085","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260086","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260087-088","CV","","","","no sold_type","","","","9","","","skip"
"E-V260089","CV","","","","no sold_type","","","","","","","skip"
"E-V260090","CV","CVIII-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CVIII-350D/72.5-10193W | SVIII-500D/72.5-10193W","","80.5","72.5","862.5","8","D","III","eligible"
"E-V260091-092","CV","","","","no sold_type","","","","","","","skip"
"E-V260093-094","CV","CVIII-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CVIII-350D/72.5-10193W | SVIII-500D/72.5-10193W","","230","72.5","578","8","D","III","eligible"
"E-V260095-096","CV","","","","no sold_type","","","","","","","skip"
"E-V260097","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","84.9","72.5","1182","9","Y","III","eligible"
"E-V260098-099","CV","CVIII-350D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-V260100","CV","CVIII-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CVIII-350Y/40.5-10193W | SVIII-500Y/40.5-10193W","","218.7","40.5","158.77","8","Y","III","eligible"
"E-V260101","CV","","","","no sold_type","","","","","","","skip"
"E-V260102-103","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","281","72.5","0","8","Y","III","eligible"
"E-V260104","CV","CVIII-350D/72.5-14131W","CV2III-350D/72.5-14131W","CV2III-600D/72.5-14131W | CVIII-350D/72.5-14131W | SVIII-500D/72.5-14131W","","67.09","72.5","862.5","6","D","III","eligible"
"E-V260105-106","CV","CVIII-350D/72.5-10173G","CV2III-350D/72.5-16151G","CV2III-600D/72.5-16151G | CVIII-350D/72.5-16151G | SVIII-500D/72.5-16151G","","71.6","72.5","693","7","D","III","eligible"
"E-V260107","CV","CVIII-350Y/72.5-10173G","CV2III-350Y/72.5-16151G","CV2III-600Y/72.5-16151G | CVIII-350Y/72.5-16151G | SVIII-500Y/72.5-16151G","","62.1","72.5","400.1","7","Y","III","eligible"
"E-V260108-109","CV","CVIII-350Y/72.5-10173G","CV2III-350Y/72.5-16151G","CV2III-600Y/72.5-16151G | CVIII-350Y/72.5-16151G | SVIII-500Y/72.5-16151G","","99.3","72.5","400.1","7","Y","III","eligible"
"E-V260110-113","CV","CVIII-350D/40.5-12231G","CV2III-350D/40.5-12231G","CV2III-600D/40.5-12231G | CVIII-350D/40.5-12231G | SVIII-500D/40.5-12231G","","59.4","40.5","472.5","11","D","III","eligible"
"E-V260114-116","CV","CVIII-350Y/40.5-12231G","CV2III-350Y/40.5-12231G","CV2III-600Y/40.5-12231G | CVIII-350Y/40.5-12231G | SVIII-500Y/40.5-12231G","","109.8","40.5","272.8","11","Y","III","eligible"
"E-V260117","CV","CVIII-350Y/40.5-12231G","CV2III-350Y/40.5-12231G","CV2III-600Y/40.5-12231G | CVIII-350Y/40.5-12231G | SVIII-500Y/40.5-12231G","","219.5","40.5","272.8","11","Y","III","eligible"
"E-V260118","CV","3xCVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","87.5","72.5","1134.5","8","Y","III","oil-vs-vac"
"E-V260119","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260120-121","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260124-125","CV","","","","no sold_type","","","","","","","skip"
"E-V260126-127","CV","","","","no sold_type","239","","1181.8","9","","","skip"
"E-V260128-129","CV","","","","no sold_type","","","","","","","skip"
"E-V260130-131","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260132-133","CV","CVIII-350D/40.5-10193G","CV2III-350D/40.5-10193G","CV2III-600D/40.5-10193G | CVIII-350D/40.5-10193G | SVIII-500D/40.5-10193G","","227.3","40.5","431.2","8","D","III","eligible"
"E-V260134-135","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","176","72.5","303","8","Y","III","eligible"
"E-V260136-137","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1182","9","Y","III","eligible"
"E-V260138-139","CV","","","","no sold_type","","","","","","","skip"
"E-V260140","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260141","CV","CVI-700Y/72.5-10070","CV2I-350/72.5-10070","CV2I-600/72.5-10070 | CVI-350/72.5-10070 | CVI-700/72.5-10070","","269.27","72.5","769.5","","Y","I","eligible"
"E-V260143","CV","","","","no sold_type","","","","","","","skip"
"E-V260144","CV","","","","no sold_type","148.15","","250","","","","skip"
"E-V260145","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260146-147","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260148-149","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1182","9","Y","III","eligible"
"E-V260150","CV","CVIII-350D/40.5-10090","CV2III-350D/40.5-10090","CV2III-600D/40.5-10090 | CVIII-350D/40.5-10090 | SVIII-500D/40.5-10090","","178.3","40.5","825","","D","III","eligible"
"E-V260151","CV","SVIII-500D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-V260152","CV","CVIII-350D/40.5-1","","","no transformer I","","40.5","","","D","III","skip"
"E-V260153-154","CV","","","","no sold_type","","","","","","","skip"
"E-V260155","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","80","72.5","1182","9","Y","III","eligible"
"E-V260156-157","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1182","9","Y","III","eligible"
"E-V260158-159","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","21.2","72.5","1182","9","Y","III","eligible"
"E-V260160-161","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","267","72.5","318","8","Y","III","eligible"
"E-V260162","CV","","","","no sold_type","","","","","","","skip"
"E-V260163-164","CV","CVIII-350D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-V260165","CV","","","","no sold_type","","","","","","","skip"
"E-V260166","CV","CVIII-350D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-V260167-168","CV","CVIII-350D/40.5-14271W","","","no transformer I","","40.5","","","D","III","skip"
"E-V260169","CV","CVIII-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CVIII-350Y/40.5-10193W | SVIII-500Y/40.5-10193W","","267","40.5","318","8","Y","III","eligible"
"E-V260170-178","CV","","","","no sold_type","320","","","","","","skip"
"E-V260179","CV","","","","no sold_type","","","","","","","skip"
