serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-CV2260254-256","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71","72.5","862.5","8","D","III","exact"
"E-CV2260257","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","151.21","72.5","862.5","8","D","III","exact"
"E-CV2260258","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","151.21","72.5","862.5","8","D","III","exact"
"E-CV2260259-262","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.26","145","1725","8","D","III","exact"
"E-CV2260263","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","72.46","145","1725","8","D","III","exact"
"E-CV2260264-265","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","75.58","145","1725","8","D","III","exact"
"E-CV2260266-267","VCV","CV2III-600D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260268","VCV","CV2III-350D/40.5-10091W","CV2III-350D/40.5-10091W","CV2III-600D/40.5-10091W | CM2III-500D/72.5B-10091W | CM2III-600D/72.5B-10091W","","181.2","40.5","359","4","D","III","exact"
"E-CV2260269","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","84.9","72.5","0","9","Y","III","exact"
"E-CV2260270-271","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","24.5","72.5","1368","8","Y","III","exact"
"E-CV2260272-274","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","130.9","145","996","8","D","III","exact"
"E-CV2260275-276","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.26","145","1725","8","D","III","exact"
"E-CV2260277","VCV","CV2III-600D/72.5-12233W","SHZVIII-1000D/72.5B-12233W","SHZVGIII-1300D/72.5B-12233W | SHZVGIII-1500D/72.5B-12233W | 3xCM2I-800/72.5B-12233W","","603.75","72.5","0","10","D","III","miss"
"E-CV2260278","VCV","CV2III-600Y/72.5-10193W","CV2III-600Y/72.5-10193W","CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W | SHZVIII-400Y/72.5B-10193W","","376.53","72.5","1725","8","Y","III","exact"
"E-CV2260279-280","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","160.9","72.5","862.5","8","D","III","exact"
